"BroodID","year","weight","brood_size","TimeAfterSunrise","Doublebox","Species","TreatmentB","TreatmentG","Ha","Type","SPY","Subplot"
2015,2023,11.01,7,5.43333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
2015,2023,11.27,7,5.43333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
2015,2023,10.48,7,5.78333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
2015,2023,11.61,7,5.43333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
2015,2023,11.25,7,5.78333333333333,0,"B",1,1,5.08,"chick2","C12023","C1"
2016,2023,17.83,7,7.28333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
2016,2023,16.82,7,7.48333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
2016,2023,17.18,7,7.28333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
2016,2023,16.76,7,7.28333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
2016,2023,16.81,7,7.48333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
2016,2023,18.68,7,7.48333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
2016,2023,14.02,7,7.28333333333333,0,"G",1,1,5.08,"chick2","C12023","C1"
2017,2023,9.41,5,3.85,0,"B",1,1,5.08,"chick2","C12023","C1"
2017,2023,10.69,5,3.85,0,"B",1,1,5.08,"chick2","C12023","C1"
2017,2023,9.59,5,3.85,0,"B",1,1,5.08,"chick2","C12023","C1"
2017,2023,8.55,5,3.85,0,"B",1,1,5.08,"chick2","C12023","C1"
2017,2023,13.3,5,3.85,0,"B",1,1,5.08,"chick2","C12023","C1"
2019,2023,16.25,7,6.68333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2019,2023,17.1,7,6.68333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2019,2023,16.9,7,6.68333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2019,2023,17.63,7,6.68333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2019,2023,16.94,7,6.68333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2019,2023,16.61,7,6.68333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2019,2023,16.86,7,6.68333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2022,2023,15.78,6,2.38333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2022,2023,14.87,6,2.38333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2022,2023,13.68,6,2.38333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2022,2023,14.83,6,2.38333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
2022,2023,12.47,6,2.38333333333333,0,"G",0,1,5.77,"chick2","C22023","C2"
