"","BroodID","RingNumber","year","Species","Type","Sex","nSamples","AdateSample","timeSample","tube_ID","lab_ID","ClutchNumber","SubplotYear","TreatmentB","TreatmentG","Doublebox","ExpScore","TimeAfterSunrise","Sequence","WithinNestRep"
"590",2107,"B5G7500",2023,2,"AF",0,1,60,"11:44","D_40_2","ND_0520",1,"D22023",0,1,0,40,6.4,2,"2107_AF"
"591",2763,NA,2024,2,"chick2",2,3,1,"11:49","D_41_4","ND_1118",1,"D22024",0,1,0,NA,NA,NA,"2763_chick2"
"592",2763,NA,2024,2,"chick1",2,2,39,"10:30","D_41_3","ND_0941",1,"D22024",0,1,0,NA,NA,NA,"2763_chick1"
"593",2763,"B4P0593",2024,2,"AM",1,1,39,"08:58","D_41_1","ND_0950",1,"D22024",0,1,0,75,3.26666666666667,4,"2763_AM"
"594",2110,NA,2023,1,"chick1",2,2,47,"08:50","D_43_3","ND_0038",1,"D22023",0,1,0,NA,NA,NA,"2110_chick1"
"595",2765,NA,2024,1,"chick1",2,2,40,"12:24","D_43_3","ND_0977",1,"D22024",0,1,0,NA,NA,NA,"2765_chick1"
"596",2110,"C5H7039",2023,1,"AF",0,1,47,"07:43","D_43_2","ND_0040",1,"D22023",0,1,0,38,2.16666666666667,1,"2110_AF"
"597",2110,NA,2023,1,"chick2",2,1,51,"13:23","D_43_4B","ND_0106",1,"D22023",0,1,0,NA,NA,NA,"2110_chick2"
"598",2110,NA,2023,1,"chick2",2,1,51,"13:23","D_43_4A","ND_0098",1,"D22023",0,1,0,NA,NA,NA,"2110_chick2"
"599",2111,NA,2023,2,"chick1",2,1,58,"17:57","D_44_3","ND_0418",1,"D22023",0,1,0,NA,NA,NA,"2111_chick1"
"600",2111,"B5G6932",2023,2,"AF",0,1,59,"14:41","D_44_2","ND_0637",1,"D22023",0,1,0,84,9.35,2,"2111_AF"
"601",2111,"B4P0593",2023,2,"AM",1,1,60,"11:05","D_44_1","ND_0555",1,"D22023",0,1,0,88,5.75,3,"2111_AM"
"602",2313,"C5H7214",2023,1,"AF",0,1,51,"11:55","D_46_2","ND_0107",1,"D22023",0,1,0,46,6.45,1,"2313_AF"
"603",2113,NA,2023,1,"chick1",2,4,55,"15:49","D_47_3C","ND_0313",1,"D22023",0,1,0,NA,NA,NA,"2113_chick1"
"604",2113,"C5H7139",2023,1,"AF",0,1,56,"07:43","D_47_2","ND_0269",1,"D22023",0,1,0,74,2.33333333333333,1,"2113_AF"
"605",2114,NA,2023,1,"chick2",2,1,51,"11:10","D_48_4","ND_0096",1,"D22023",0,1,0,NA,NA,NA,"2114_chick2"
"606",2114,NA,2023,1,"chick1",2,1,47,"10:21","D_48_3","ND_0036",1,"D22023",0,1,0,NA,NA,NA,"2114_chick1"
"607",2114,"C5H7213",2023,1,"AF",0,1,51,"11:30","D_48_2","ND_0103",1,"D22023",0,1,0,89,6.03333333333333,1,"2114_AF"
"608",2114,"C5H7040",2023,1,"AM",1,1,47,"09:34","D_48_1","ND_0037",1,"D22023",0,1,0,54,4.01666666666667,1,"2114_AM"
"609",2115,NA,2023,1,"chick2",2,1,55,"16:17","D_49_4A","ND_0306",1,"D22023",0,1,0,NA,NA,NA,"2115_chick2"
"610",2115,NA,2023,1,"chick1",2,1,52,"10:50","D_49_3C","ND_0130",1,"D22023",0,1,0,NA,NA,NA,"2115_chick1"
"611",2115,NA,2023,1,"chick1",2,1,52,"10:50","D_49_3A","ND_0122",1,"D22023",0,1,0,NA,NA,NA,"2115_chick1"
